 mean_H1 mean_DBC mean_EC mean_HFF mean_NPC mean_TB
bulk59 0.13363903859332332 0.2416896097339294 0.24891506731459206 0.04276378212432538 0.3068497175974334 0.026142784636396386
bulk60 0.2951874820238263 0.11782291806907583 0.06637072467170127 0.24794271175909674 0.258052676090858 0.014623487385441763
bulk61 0.21744888241929053 0.05658496654351001 0.08028055735935326 0.17164384909519823 0.2186633100242462 0.2553784345584019
bulk62 0.3547484105773452 0.13050864601017925 0.04808302769373497 0.2925013231928047 0.07204940950737168 0.10210918301856427
bulk63 0.24392455716281616 0.15024829990943347 0.12140020447502806 0.06105166301798008 0.2901894204779326 0.13318585495680962
bulk64 0.08003789420509687 0.03479117763728609 0.05235654562438642 0.25513847757968605 0.25459134556366386 0.3230845593898807
bulk65 0.08849752363715227 0.01766572717445874 0.18481479399401235 0.21541356724163588 0.23841467787770027 0.2551937100750405
bulk66 0.2268046343533983 0.16026177928518567 0.17557719135805783 0.22431268442989802 0.01549775144321448 0.19754595913024572
bulk67 0.21415934804351044 0.12045525990525631 0.3549573695166701 0.11467581296472897 0.02970495257459131 0.1660472569952428
bulk68 0.10860644890508939 0.26785635643405536 0.359650823150032 0.08840032949646352 0.034804407375688975 0.14068163463867095
bulk69 0.16295339343724533 0.22811927970527307 0.16144251146851687 0.20048707717044983 0.13296693151759442 0.11403080670092056
bulk70 0.15411071357957876 0.2618997694934881 0.09699232212910859 0.23964315681461612 0.13703222259857054 0.11032181538463791
bulk71 0.09127082377246706 0.07525924041677617 0.09112517613031013 0.22561874088807365 0.2843831086132222 0.23234291017915068
bulk72 0.07885260890992608 0.26353991026469253 0.07151765719728669 0.2116325393742396 0.1080753235071464 0.2663819607467086
bulk73 0.030548275578541464 0.15104970403040954 0.12387767388005513 0.2508213223253964 0.12272907677729411 0.3209739474083035
bulk74 0.27200244464881507 0.22264620312848593 0.09380520547544183 0.10241172014936509 0.09851921726475554 0.21061520933313638
bulk75 0.15913379736101763 0.3217300723738177 0.09442278215728957 0.18209572691665885 0.22452601540505313 0.018091605786163138
bulk76 0.1614878303008189 0.14429831372197613 0.11132407148910124 0.17601803491672383 0.17601328253137677 0.23085846704000318
bulk77 0.2455915491015895 0.03054382576627163 0.2682835778122281 0.08604514408735996 0.11217553105238114 0.2573603721801697
bulk78 0.11862967302674153 0.14773815416701513 0.38505986454615954 0.04646954166602313 0.033093525415719575 0.2690092411783413
bulk79 0.18944517221128995 0.12469467717248008 0.12434256290309229 0.10131083005245886 0.1810237552549287 0.27918300240575006
bulk80 0.175271073950995 0.15287718468424097 0.07602034705322017 0.2948023356358218 0.07281033350440491 0.2282187251713171
bulk81 0.025366136241979587 0.26833578881737485 0.2115893800910679 0.1459675944965611 0.025682916390493353 0.3230581839625232
bulk82 0.23885820671863772 0.08066271664565915 0.17600428220298495 0.24630122664366041 0.24689297103227162 0.0112805967567861
bulk83 0.08645704045740037 0.32824486167493827 0.13651458659136245 0.23794767934334965 0.02301350232118466 0.18782232961176454
bulk84 0.17862090222811994 0.09751470501009889 0.11243699796787152 0.21871335121765859 0.1440093576509069 0.24870468592534417
bulk85 0.2348215345147667 0.09086821925323202 0.12516530163821832 0.13311899679633876 0.23091898452886503 0.18510696326857917
bulk86 0.1944389824424602 0.09482996593340924 0.28109846018888934 0.17592965573393543 0.14832953851054353 0.10537339719076226
bulk87 0.18174342653440664 0.09990687744135429 0.09157451972662183 0.20181279416860334 0.3394512883907977 0.08551109373821615
bulk88 0.20659049024278953 0.1919938103390425 0.14638609348707143 0.181116110496803 0.07951042292798649 0.19440307250630698
bulk89 0.20893296404578274 0.03665862751743073 0.03283144171657642 0.31979904738681153 0.23605682951433474 0.16572108981906397
bulk90 0.26845956936641036 0.03367647873148173 0.21169564039081737 0.04199076896505433 0.2845525472167524 0.1596249953294839
bulk91 0.04704858380500424 0.13800569538116267 0.14114112228255932 0.4380423848120578 0.01739103462801943 0.21837117909119635
bulk92 0.14509207867345295 0.09877230840002461 0.28434131001165214 0.1745575078333958 0.28822990318988945 0.009006891891585133
bulk93 0.255911261578216 0.04143814302041131 0.3072999727146834 0.31167102649650974 0.07010516875258839 0.013574427437591264
bulk94 0.049220127142467596 0.14507282843566183 0.25090265611823837 0.2837392151227443 0.04362783517689948 0.22743733800398827
bulk95 0.046920717128407494 0.06186643872478571 0.05090223122682832 0.3092486927715728 0.2698766082155769 0.2611853119328288
bulk96 0.027152533589439278 0.2626790042382995 0.298673571598542 0.02301583758195789 0.21428514745160052 0.17419390554016076
bulk97 0.087183283605377 0.27464874083065693 0.2667647806672523 0.1567938136832309 0.06454252007123551 0.1500668611422473
bulk98 0.12056647922202013 0.329994399962204 0.08701651447836817 0.03397839413962191 0.2736463510412054 0.15479786115658029
bulk99 0.3382715034446006 0.04050217456146242 0.09060175688891543 0.22127256107261845 0.0035942032973876803 0.3057578007350154
